,time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,Year,Month,Day
214,2023-08-03,20.7,13.7,26.5,0.0,0.0,211.0,10.7,,1019.4,,2023,8,03
215,2023-08-04,22.8,21.0,24.8,5.4,0.0,198.0,10.8,,1014.3,,2023,8,04
216,2023-08-05,23.2,18.7,28.2,5.6,0.0,317.0,6.9,,1014.9,,2023,8,05
217,2023-08-06,22.8,15.4,29.3,0.0,0.0,243.0,7.5,,1016.3,,2023,8,06
218,2023-08-07,23.7,22.1,26.5,20.4,0.0,164.0,9.0,,1011.9,,2023,8,07
219,2023-08-08,23.7,22.1,26.5,0.0,0.0,231.0,13.9,,1003.8,,2023,8,08
220,2023-08-09,24.2,19.8,29.3,0.0,0.0,272.0,13.2,,1006.1,,2023,8,09
221,2023-08-10,21.6,16.5,26.0,6.0,0.0,230.0,6.3,,1005.9,,2023,8,10
222,2023-08-11,22.2,16.5,28.2,0.0,0.0,253.0,10.0,,1008.0,,2023,8,11
223,2023-08-12,21.7,15.4,27.6,20.6,0.0,65.0,7.3,,1012.7,,2023,8,12
224,2023-08-13,24.6,19.8,29.8,5.3,0.0,290.0,8.7,,1011.9,,2023,8,13
225,2023-08-14,23.3,17.6,28.7,0.9,0.0,316.0,3.4,,1014.4,,2023,8,14
226,2023-08-15,21.6,20.4,22.6,15.7,0.0,69.0,8.8,,1009.7,,2023,8,15
227,2023-08-16,22.7,20.4,26.5,2.4,0.0,108.0,8.5,,1013.5,,2023,8,16
228,2023-08-17,22.3,21.5,23.7,0.1,0.0,102.0,8.5,,1014.6,,2023,8,17
229,2023-08-18,22.8,16.5,27.1,8.3,0.0,277.0,10.5,,1007.7,,2023,8,18
230,2023-08-19,19.8,14.8,25.4,0.0,0.0,255.0,11.2,,1014.4,,2023,8,19
231,2023-08-20,20.8,13.2,28.2,0.0,0.0,255.0,5.7,,1018.9,,2023,8,20
232,2023-08-21,24.3,18.2,30.4,1.8,0.0,324.0,5.4,,1017.3,,2023,8,21
233,2023-08-22,21.6,16.0,26.0,0.0,0.0,347.0,10.8,,1018.8,,2023,8,22
234,2023-08-23,19.3,12.6,26.0,0.0,0.0,347.0,4.3,,1020.3,,2023,8,23
235,2023-08-24,19.6,17.6,21.5,3.7,0.0,102.0,5.6,,1018.3,,2023,8,24
236,2023-08-25,22.9,19.8,24.8,6.9,0.0,191.0,9.3,,1012.1,,2023,8,25
237,2023-08-26,24.9,21.5,29.3,0.0,0.0,346.0,4.4,,1010.7,,2023,8,26
238,2023-08-27,22.6,18.2,27.6,0.0,0.0,353.0,5.7,,1013.7,,2023,8,27
239,2023-08-28,22.2,18.7,24.8,0.0,0.0,72.0,6.1,,1017.5,,2023,8,28
240,2023-08-29,22.7,18.7,26.5,0.0,0.0,92.0,6.7,,1014.4,,2023,8,29
241,2023-08-30,23.9,19.8,28.2,2.5,0.0,286.0,8.2,,1006.8,,2023,8,30
242,2023-08-31,19.5,12.6,24.3,0.0,0.0,343.0,14.1,,1014.5,,2023,8,31
243,2023-09-01,17.4,10.4,24.3,0.0,0.0,11.0,5.7,,1024.7,,2023,9,01
244,2023-09-02,19.4,11.5,26.5,0.0,0.0,259.0,8.3,,1021.6,,2023,9,02
245,2023-09-03,23.6,17.6,30.4,0.0,0.0,271.0,5.8,,1013.9,,2023,9,03
246,2023-09-04,25.0,18.2,32.1,0.0,0.0,325.0,4.1,,1011.8,,2023,9,04
247,2023-09-05,26.4,20.4,32.1,0.0,0.0,326.0,7.3,,1013.5,,2023,9,05
248,2023-09-06,26.7,21.5,32.1,0.0,0.0,302.0,6.4,,1010.9,,2023,9,06
249,2023-09-07,26.9,21.0,33.7,0.3,0.0,275.0,6.6,,1009.9,,2023,9,07
250,2023-09-08,24.0,19.8,31.5,4.5,0.0,31.0,3.3,,1014.4,,2023,9,08
251,2023-09-09,24.9,22.1,28.7,6.0,0.0,26.0,3.2,,1018.9,,2023,9,09
252,2023-09-10,22.8,21.0,25.4,5.6,0.0,24.0,3.9,,1019.3,,2023,9,10
253,2023-09-11,23.6,20.4,27.6,81.6,0.0,20.0,4.4,,1016.4,,2023,9,11
254,2023-09-12,22.5,19.8,27.6,0.0,0.0,321.0,5.3,,1015.7,,2023,9,12
255,2023-09-13,21.9,18.2,25.4,37.8,0.0,339.0,3.5,,1013.6,,2023,9,13
256,2023-09-14,19.9,16.0,24.3,0.0,0.0,339.0,11.6,,1017.5,,2023,9,14
257,2023-09-15,16.5,11.5,21.5,0.0,0.0,355.0,11.7,,1017.7,,2023,9,15
258,2023-09-16,17.7,12.1,23.7,0.0,0.0,308.0,9.9,,1012.3,,2023,9,16
259,2023-09-17,17.8,8.7,24.8,2.3,0.0,321.0,4.6,,1013.8,,2023,9,17
260,2023-09-18,18.4,16.5,21.0,26.7,0.0,355.0,4.3,,1008.9,,2023,9,18
261,2023-09-19,17.3,12.1,22.6,0.0,0.0,272.0,9.3,,1013.1,,2023,9,19
262,2023-09-20,15.7,8.7,22.6,0.0,0.0,278.0,6.0,,1020.7,,2023,9,20
263,2023-09-21,15.2,8.2,23.2,0.0,0.0,351.0,6.8,,1025.0,,2023,9,21
264,2023-09-22,15.9,9.8,22.1,0.0,0.0,60.0,7.9,,1028.1,,2023,9,22
265,2023-09-23,14.6,13.2,16.0,10.4,0.0,58.0,15.7,,1022.6,,2023,9,23
266,2023-09-24,16.0,14.8,17.1,9.4,0.0,60.0,17.8,,1017.8,,2023,9,24
267,2023-09-25,15.0,13.2,16.0,25.5,0.0,54.0,15.1,,1019.7,,2023,9,25
268,2023-09-26,14.5,7.6,18.2,0.1,0.0,43.0,11.3,,1027.7,,2023,9,26
269,2023-09-27,12.4,5.4,19.8,0.0,0.0,28.0,7.3,,1027.7,,2023,9,27
270,2023-09-28,14.1,7.6,18.7,0.0,0.0,48.0,6.4,,1025.8,,2023,9,28
271,2023-09-29,14.0,13.7,15.4,102.1,0.0,55.0,13.2,,1022.9,,2023,9,29
272,2023-09-30,15.3,12.6,18.2,5.0,0.0,17.0,7.0,,1022.2,,2023,9,30
273,2023-10-01,17.3,9.8,26.0,0.0,0.0,352.0,6.4,,1021.9,,2023,10,01
274,2023-10-02,18.4,13.2,26.0,0.0,0.0,4.0,4.5,,1022.5,,2023,10,02
275,2023-10-03,18.6,11.0,27.1,0.0,0.0,317.0,3.6,,1021.7,,2023,10,03
276,2023-10-04,20.8,13.2,29.3,0.0,0.0,8.0,2.4,,1022.6,,2023,10,04
277,2023-10-05,18.4,13.2,25.4,0.0,0.0,39.0,4.4,,1023.4,,2023,10,05
278,2023-10-06,19.8,18.2,22.1,9.8,0.0,87.0,6.8,,1017.4,,2023,10,06
279,2023-10-07,17.6,12.1,20.4,25.2,0.0,75.0,11.2,,1006.2,,2023,10,07
280,2023-10-08,12.3,9.3,15.4,0.0,0.0,247.0,13.8,,1003.4,,2023,10,08
281,2023-10-09,10.6,4.3,16.0,0.0,0.0,255.0,7.9,,1008.0,,2023,10,09
282,2023-10-10,11.4,6.5,17.6,0.0,0.0,310.0,6.1,,1009.9,,2023,10,10
283,2023-10-11,13.1,7.6,20.4,0.0,0.0,330.0,5.2,,1011.3,,2023,10,11
284,2023-10-12,12.8,6.0,21.0,0.0,0.0,332.0,3.7,,1012.4,,2023,10,12
285,2023-10-13,11.0,7.6,17.1,0.0,0.0,335.0,8.5,,1014.7,,2023,10,13
286,2023-10-14,10.2,8.2,12.1,15.6,0.0,338.0,2.7,,1009.5,,2023,10,14
287,2023-10-15,11.5,7.1,16.0,0.0,0.0,334.0,10.8,,999.9,,2023,10,15
288,2023-10-16,11.4,5.4,18.2,0.5,0.0,325.0,6.7,,1003.3,,2023,10,16
289,2023-10-17,11.5,6.0,17.1,0.0,0.0,314.0,4.9,,1013.1,,2023,10,17
290,2023-10-18,13.2,8.7,17.6,0.0,0.0,11.0,2.4,,1020.7,,2023,10,18
291,2023-10-19,12.7,7.6,18.2,0.0,0.0,315.0,5.3,,1019.8,,2023,10,19
292,2023-10-20,15.4,12.1,17.1,21.8,0.0,129.0,11.1,,1007.6,,2023,10,20
293,2023-10-21,15.4,14.3,17.1,6.7,0.0,300.0,10.8,,992.6,,2023,10,21
294,2023-10-22,11.6,8.2,14.3,0.0,0.0,281.0,15.4,,1002.9,,2023,10,22
295,2023-10-23,9.8,4.8,16.0,0.0,0.0,330.0,10.0,,1019.6,,2023,10,23
296,2023-10-24,9.7,2.1,18.2,0.0,0.0,326.0,3.8,,1027.6,,2023,10,24
297,2023-10-25,15.3,5.4,24.3,0.0,0.0,281.0,5.5,,1024.9,,2023,10,25
298,2023-10-26,18.1,9.3,27.1,0.0,0.0,292.0,5.7,,1022.7,,2023,10,26
299,2023-10-27,18.4,13.2,25.4,0.0,0.0,303.0,5.7,,1018.8,,2023,10,27
300,2023-10-28,19.6,12.1,26.5,0.0,0.0,322.0,8.3,,1016.2,,2023,10,28
301,2023-10-29,11.0,9.3,14.3,19.1,0.0,33.0,9.7,,1019.7,,2023,10,29
302,2023-10-30,10.7,8.7,13.2,7.9,0.0,20.0,6.9,,1010.5,,2023,10,30
303,2023-10-31,8.0,4.8,10.4,0.0,0.0,359.0,6.1,,1017.9,,2023,10,31
304,2023-11-01,5.4,0.4,8.2,4.6,0.0,358.0,6.6,,1018.0,,2023,11,01
305,2023-11-02,2.6,-2.4,8.7,0.0,0.0,340.0,2.7,,1030.6,,2023,11,02
306,2023-11-03,6.4,-1.3,13.2,0.0,0.0,256.0,8.1,,1030.3,,2023,11,03
307,2023-11-04,8.8,2.6,15.4,0.0,0.0,357.0,0.9,,1022.8,,2023,11,04
308,2023-11-05,10.1,4.8,17.6,0.8,0.0,357.0,3.7,,1017.7,,2023,11,05
309,2023-11-06,7.2,1.0,12.6,0.2,0.0,51.0,3.8,,1019.7,,2023,11,06
310,2023-11-07,14.2,9.8,18.7,6.5,0.0,241.0,11.6,,1008.8,,2023,11,07
311,2023-11-08,6.3,3.7,9.8,0.0,0.0,350.0,10.3,,1017.7,,2023,11,08
312,2023-11-09,6.0,2.1,12.6,0.0,0.0,27.0,4.2,,1013.5,,2023,11,09
313,2023-11-10,6.1,1.0,11.0,0.0,0.0,295.0,5.8,,1018.6,,2023,11,10
314,2023-11-11,5.3,-1.3,11.5,0.0,0.0,346.0,5.2,,1026.5,,2023,11,11
315,2023-11-12,1.3,-2.9,6.5,0.0,0.0,353.0,4.6,,1031.9,,2023,11,12
316,2023-11-13,1.8,-4.6,8.7,0.0,0.0,270.0,4.6,,1025.7,,2023,11,13
317,2023-11-14,4.5,-1.3,12.1,0.0,0.0,322.0,8.6,,1025.0,,2023,11,14
318,2023-11-15,4.7,-2.9,12.1,0.0,0.0,322.0,4.8,,1028.5,,2023,11,15
319,2023-11-16,7.6,-0.7,18.2,0.0,0.0,337.0,3.0,,1023.3,,2023,11,16
320,2023-11-17,11.3,0.4,18.2,0.0,0.0,212.0,9.7,,1015.7,,2023,11,17
321,2023-11-18,9.0,-0.7,14.3,2.9,0.0,340.0,9.6,,1008.0,,2023,11,18
322,2023-11-19,5.5,-2.4,12.6,0.0,0.0,311.0,7.8,,1013.4,,2023,11,19
323,2023-11-20,2.2,-1.3,7.1,0.0,0.0,0.0,7.2,,1028.2,,2023,11,20
324,2023-11-21,2.5,-4.0,7.1,6.0,0.0,75.0,10.4,,1030.5,,2023,11,21
325,2023-11-22,8.2,4.8,9.8,20.2,0.0,0.0,10.1,,1007.2,,2023,11,22
326,2023-11-23,8.4,6.5,11.0,0.0,0.0,293.0,10.1,,1010.6,,2023,11,23
327,2023-11-24,5.5,-0.7,9.8,0.0,0.0,324.0,9.5,,1020.4,,2023,11,24
328,2023-11-25,-0.6,-4.6,4.8,0.0,0.0,328.0,4.8,,1028.8,,2023,11,25
329,2023-11-26,3.6,-4.6,11.0,11.1,0.0,49.0,8.8,,1020.4,,2023,11,26
330,2023-11-27,7.8,2.1,11.5,9.9,0.0,265.0,12.6,,1005.6,,2023,11,27
331,2023-11-28,1.0,-0.2,3.2,0.0,0.0,268.0,16.0,,1010.5,,2023,11,28
332,2023-11-29,-0.2,-4.0,2.6,0.0,0.0,244.0,11.4,,1017.8,,2023,11,29
333,2023-11-30,3.2,-5.7,9.8,0.0,0.0,281.0,6.4,,1019.7,,2023,11,30
334,2023-12-01,5.4,-2.4,9.8,5.5,0.0,349.0,1.8,,1020.0,,2023,12,01
335,2023-12-02,8.2,4.8,13.7,0.0,0.0,335.0,2.6,,1016.2,,2023,12,02
336,2023-12-03,7.9,6.0,8.7,12.8,0.0,53.0,10.0,,1010.1,,2023,12,03
337,2023-12-04,7.2,3.2,10.4,0.0,0.0,259.0,10.6,,1007.6,,2023,12,04
338,2023-12-05,4.1,0.4,5.4,0.0,0.0,354.0,6.6,,1015.7,,2023,12,05
339,2023-12-06,1.9,-1.3,3.7,0.0,0.0,347.0,7.8,,1015.7,,2023,12,06
340,2023-12-07,-0.6,-5.2,2.6,0.0,0.0,283.0,5.4,,1016.3,,2023,12,07
341,2023-12-08,4.2,-1.3,10.4,0.0,0.0,2.0,3.3,,1021.5,,2023,12,08
342,2023-12-09,5.1,-0.7,12.6,0.0,0.0,8.0,1.2,,1022.7,,2023,12,09
343,2023-12-10,11.8,3.7,17.1,17.0,0.0,135.0,10.2,,1012.1,,2023,12,10
344,2023-12-11,5.0,2.1,7.6,13.3,0.0,300.0,15.1,,1009.1,,2023,12,11
345,2023-12-12,3.1,-1.8,6.5,0.0,0.0,234.0,11.1,,1026.9,,2023,12,12
346,2023-12-13,2.5,-3.5,7.1,0.0,0.0,288.0,9.3,,1030.7,,2023,12,13
347,2023-12-14,0.3,-4.6,4.3,0.0,0.0,289.0,7.9,,1035.3,,2023,12,14
348,2023-12-15,4.7,-2.4,14.8,0.0,0.0,276.0,6.8,,1027.1,,2023,12,15
349,2023-12-16,5.7,-1.8,12.6,0.0,0.0,34.0,4.3,,1031.8,,2023,12,16
350,2023-12-17,9.3,7.1,14.8,13.3,0.0,74.0,11.7,,1023.1,,2023,12,17
351,2023-12-18,12.3,4.8,17.6,87.3,0.0,203.0,17.7,,992.7,,2023,12,18
352,2023-12-19,3.2,-0.2,6.0,0.0,0.0,303.0,11.5,,1014.3,,2023,12,19
353,2023-12-20,2.4,-1.3,6.5,0.0,0.0,337.0,13.6,,1027.3,,2023,12,20
354,2023-12-21,1.0,-5.2,3.2,0.0,0.0,352.0,14.2,,1029.9,,2023,12,21
355,2023-12-22,-2.6,-7.4,3.2,0.0,0.0,350.0,1.6,,1031.8,,2023,12,22
356,2023-12-23,-0.7,-6.3,3.7,0.0,0.0,5.0,0.8,,1032.5,,2023,12,23
357,2023-12-24,4.5,1.0,8.7,0.0,0.0,0.0,0.0,,1030.0,,2023,12,24
358,2023-12-25,5.3,1.5,10.4,0.0,0.0,11.0,1.5,,1030.3,,2023,12,25
359,2023-12-26,5.5,2.6,9.8,0.0,0.0,9.0,1.8,,1026.1,,2023,12,26
360,2023-12-27,7.9,5.4,9.8,3.8,0.0,27.0,3.3,,1018.5,,2023,12,27
361,2023-12-28,10.2,8.2,12.1,41.6,0.0,40.0,11.8,,1006.7,,2023,12,28
362,2023-12-29,9.0,7.1,12.1,1.8,,299.0,5.8,,1004.0,,2023,12,29
363,2023-12-30,6.5,3.7,7.6,0.0,0.0,289.0,9.0,,1003.4,,2023,12,30
364,2023-12-31,3.8,3.2,5.4,0.0,0.0,318.0,6.1,,1013.8,,2023,12,31
365,2024-01-01,3.5,-0.2,7.1,0.0,0.0,348.0,4.3,,1016.7,,2024,1,01
366,2024-01-02,-0.5,-3.5,4.8,0.0,0.0,327.0,5.7,,1017.7,,2024,1,02
367,2024-01-03,1.3,-4.0,5.4,0.0,0.0,285.0,5.9,,1016.0,,2024,1,03
368,2024-01-04,2.1,-4.0,6.5,0.2,0.0,328.0,9.2,,1015.9,,2024,1,04
369,2024-01-05,-2.8,-7.9,3.2,0.0,0.0,302.0,6.4,,1023.9,,2024,1,05
370,2024-01-06,-1.9,-6.8,1.5,5.1,0.0,46.0,11.0,,1018.6,,2024,1,06
371,2024-01-07,1.6,-0.2,2.6,6.9,80.0,5.0,12.7,,1005.7,,2024,1,07
372,2024-01-08,0.7,-5.7,5.4,0.0,50.0,324.0,8.7,,1026.0,,2024,1,08
373,2024-01-09,1.9,-6.3,12.6,56.4,0.0,58.0,10.6,,1018.5,,2024,1,09
374,2024-01-10,9.7,6.5,13.7,15.0,0.0,238.0,20.0,,991.8,,2024,1,10
375,2024-01-11,5.8,2.6,8.2,0.0,0.0,257.0,12.5,,1009.8,,2024,1,11
376,2024-01-12,4.7,-1.3,8.7,2.2,0.0,51.0,8.3,,1018.3,,2024,1,12
377,2024-01-13,8.8,1.5,16.0,24.9,0.0,214.0,22.6,,995.4,,2024,1,13
378,2024-01-14,0.7,-3.5,3.7,0.1,0.0,251.0,18.0,,1011.3,,2024,1,14
379,2024-01-15,-3.3,-6.3,-1.3,0.0,0.0,244.0,10.5,,1022.6,,2024,1,15
380,2024-01-16,-3.4,-5.7,-0.7,6.7,50.0,5.0,9.2,,1011.6,,2024,1,16
381,2024-01-17,-6.7,-9.6,-4.0,0.0,50.0,259.0,12.4,,1014.0,,2024,1,17
382,2024-01-18,-5.1,-10.7,-2.4,0.0,30.0,253.0,7.1,,1019.5,,2024,1,18
383,2024-01-19,-3.4,-6.3,-2.4,2.3,30.0,2.0,6.5,,1010.9,,2024,1,19
384,2024-01-20,-7.2,-9.6,-4.6,0.0,30.0,313.0,12.2,,1013.7,,2024,1,20
385,2024-01-21,-6.9,-10.7,-1.3,0.0,30.0,323.0,9.1,,1026.1,,2024,1,21
386,2024-01-22,-3.7,-12.9,2.6,0.0,30.0,255.0,10.1,,1032.2,,2024,1,22
387,2024-01-23,2.7,1.0,4.8,1.1,30.0,324.0,5.3,,1031.9,,2024,1,23
388,2024-01-24,3.3,2.1,4.8,7.6,0.0,22.0,2.4,,1031.2,,2024,1,24
389,2024-01-25,10.3,4.3,13.7,9.1,0.0,316.0,7.6,,1020.8,,2024,1,25
390,2024-01-26,5.8,4.8,7.6,9.1,0.0,48.0,7.4,,1018.5,,2024,1,26
391,2024-01-27,5.5,3.7,7.6,0.0,0.0,12.0,3.5,,1022.2,,2024,1,27
392,2024-01-28,3.4,2.6,4.3,32.7,0.0,38.0,11.3,,1010.9,,2024,1,28
393,2024-01-29,2.4,1.5,3.2,1.2,0.0,355.0,14.9,,1011.0,,2024,1,29
394,2024-01-30,1.5,0.4,2.6,0.0,0.0,52.0,4.6,,1022.3,,2024,1,30
395,2024-01-31,1.6,0.4,2.6,0.0,0.0,115.0,4.8,,1020.1,,2024,1,31
396,2024-02-01,3.5,-1.3,6.0,0.0,0.0,293.0,5.6,,1015.0,,2024,2,01
397,2024-02-02,4.4,1.5,6.5,2.3,0.0,357.0,8.1,,1012.3,,2024,2,02
398,2024-02-03,1.9,-0.7,4.8,0.0,0.0,353.0,14.8,,1017.3,,2024,2,03
399,2024-02-04,2.4,-1.8,7.1,0.0,0.0,341.0,11.0,,1015.3,,2024,2,04
400,2024-02-05,1.6,-2.9,6.0,0.0,0.0,349.0,11.1,,1014.5,,2024,2,05
401,2024-02-06,-0.5,-5.2,6.0,0.0,0.0,357.0,5.2,,1022.0,,2024,2,06
402,2024-02-07,1.1,-5.7,8.7,0.0,0.0,2.0,5.0,,1025.7,,2024,2,07
403,2024-02-08,4.1,-2.9,12.6,0.0,0.0,3.0,0.5,,1025.6,,2024,2,08
404,2024-02-09,6.4,0.4,12.6,0.0,0.0,195.0,6.5,,1018.9,,2024,2,09
405,2024-02-10,7.4,-0.2,15.4,1.6,0.0,305.0,5.0,,1010.6,,2024,2,10
406,2024-02-11,6.0,1.5,8.7,0.0,0.0,339.0,6.0,,1012.5,,2024,2,11
407,2024-02-12,1.9,-2.9,6.0,0.0,0.0,348.0,3.7,,1012.0,,2024,2,12
408,2024-02-13,0.7,-4.6,3.2,13.7,80.0,351.0,10.5,,1003.3,,2024,2,13
409,2024-02-14,-0.3,-2.4,1.5,0.0,180.0,295.0,16.9,,1014.6,,2024,2,14
410,2024-02-15,-2.2,-11.3,3.2,2.4,150.0,237.0,7.8,,1017.0,,2024,2,15
411,2024-02-16,2.1,-1.8,4.3,0.0,50.0,286.0,16.6,,1010.0,,2024,2,16
412,2024-02-17,-1.0,-4.0,1.5,3.7,80.0,329.0,8.3,,1009.0,,2024,2,17
413,2024-02-18,-2.2,-9.6,2.6,0.0,80.0,245.0,14.5,,1010.4,,2024,2,18
414,2024-02-19,-0.3,-6.8,3.2,0.0,50.0,299.0,10.0,,1020.6,,2024,2,19
415,2024-02-20,-3.8,-10.7,3.2,0.0,30.0,346.0,2.7,,1031.9,,2024,2,20
416,2024-02-21,-2.1,-10.2,3.4,0.0,30.0,63.0,5.5,,1030.3,,2024,2,21
417,2024-02-22,1.7,-4.0,5.4,2.9,30.0,208.0,7.8,,1015.3,,2024,2,22
418,2024-02-23,5.1,3.2,8.7,4.5,0.0,351.0,2.8,,999.6,,2024,2,23
419,2024-02-24,1.9,-4.0,6.0,0.0,0.0,341.0,13.5,,1006.0,,2024,2,24
420,2024-02-25,-1.8,-7.4,3.7,0.0,0.0,321.0,7.1,,1019.4,,2024,2,25
421,2024-02-26,5.4,0.4,14.3,2.1,0.0,245.0,7.9,,1016.9,,2024,2,26
422,2024-02-27,7.2,-0.7,14.8,12.7,0.0,105.0,9.8,,1015.6,,2024,2,27
423,2024-02-28,11.9,4.8,14.3,10.5,0.0,185.0,17.1,,1004.7,,2024,2,28
424,2024-02-29,0.8,-1.3,3.2,0.0,0.0,295.0,18.0,,1022.7,,2024,2,29
425,2024-03-01,1.9,-4.6,8.2,0.0,0.0,223.0,9.7,,1034.8,,2024,3,01
